,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,
早餐,,,,,,325,,,,,,,170,,,,,,,275,,,,,,,,,,,,770
午餐,245,195,339,130,210,,,160,205,125,160,250,,,190,125,200,160,428,300,502,160,130,243,160,428,,100,306,230,200,"5,881"
晚餐,,,,540,,,,,"1,930",450,465,655,,,475,270,545,390,,,,,,,150,,,,,,120,"5,990"
消夜/零食,,40,290,,,200,49,98,45,,,,120,110,,,,,,,335,,39,100,,270,200,,,,,"1,896"
飲料,,,,,,,,245,,,,,35,,,,,,,,,,,,,,115,,27,,,422
交際/節慶,,,,,,,,,,,,,,,,,,,,,"1,447",,,,,240,,100,,,,"1,787"
交通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
交-加油,,"1,000",,,,,,,,,,,,,,,,,,,500,,,500,,,,,,500,,"2,500"
交-停車,,,,,60,,20,,,,,,70,,,,,,,,80,,,,,,,,,,,230
交-儲值,,,155,100,,,,,400,,,,,,,,67,,,,,,,,,,,,,,95,817
交-月票,,,,,,,"2,400",,,,,,,,,,,,,,,,,,,,,,,,,"2,400"
交-汽/機保養,,,,,,,,,,,,,,,"2,280",,,,,,,,,,,,,,450,,,"2,730"
交-汽/機修理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
醫療,,250,,50,300,,,50,,300,840,,250,"1,330",250,500,300,,,,,50,,,,,"3,299",,50,,300,"8,119"
旅遊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
買菜,100,,,,,,380,,,59,,,,728,,175,,,717,,,,68,150,145,,880,,30,275,,"3,707"
食材,"1,153",629,,245,322,"1,215",217,,,,135,,820,143,,390,,,,"1,955","1,546",,118,210,,41,159,,370,292,174,"10,134"
用品,,258,,,,182,,68,,230,,,,620,236,148,,,,,,,,,,,,,210,,,"1,952"
固-一信存10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-室話費1245(1228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-手機費*4人1585(3066),,,"1,396",,,,,,,,,,,,299,,,,,,,,,,,,,,,,,"1,695"
固-管委費2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-保83504(6958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-工會費10506(3502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-瓦斯640,,,,,,,,638,,,,,,,,,,,,,,,638,,,,,,,,,"1,276"
固-水(單)982(893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-電(雙)2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-車庫2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-機車貸4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-房屋稅3234(314),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-教育費*2人(8000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-機強險658(55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-汽車險19582(3264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-機燃料稅450(50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-汽燃料稅4800(400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-汽牌稅7120(595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-Netflix(460),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-軟體(332),,,,,,,,,,,,,,,,,,,,,,,589,,,,,,,,,589
固-AI (629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-音樂平台(228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-地價稅280(22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-年節紅包24800(2067),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-年節禮盒1400(117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-火險1821(152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-汽車強制險1969(164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-汽車保養6000(500),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-曄飄生活費120000(10000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-現金36000(3000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
固-基金120000(10000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
彩券,,,,,,,,,,,,,,,,,,,,,,50,,,,50,,,,,,100
服飾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
美容保養/剪髮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
教育學習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
教-學費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
教-教材費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
教-雜費,,,,,,,,,,300,,,,147,,190,,,,,,,,,,,,,,,,637
教-才藝費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
教-零用錢,,,,,,,200,,,,,,200,,,,,,,,,,,,,,,200,,,,600
羽球/運動,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,190
其他支出,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,80
合計,"1,498","2,372","2,180","1,065",892,"1,922","3,266","1,259","2,580","1,464","1,600",905,"1,665","3,078","3,730","1,798","1,112",550,"1,145","2,610","4,600",260,"1,582","1,203",455,"1,029","4,653",400,"1,443","1,297",889,"54,502"
其他收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
