record_type,expense_date,period_start,period_end,raw_category,amount,is_fixed_expense,amount_source
daily_entry,5/23,5/18,6/17,早餐,325,false,daily_cell
daily_entry,5/30,5/18,6/17,早餐,170,false,daily_cell
daily_entry,6/6,5/18,6/17,早餐,275,false,daily_cell
daily_entry,5/18,5/18,6/17,午餐,245,false,daily_cell
daily_entry,5/19,5/18,6/17,午餐,195,false,daily_cell
daily_entry,5/20,5/18,6/17,午餐,339,false,daily_cell
daily_entry,5/21,5/18,6/17,午餐,130,false,daily_cell
daily_entry,5/22,5/18,6/17,午餐,210,false,daily_cell
daily_entry,5/25,5/18,6/17,午餐,160,false,daily_cell
daily_entry,5/26,5/18,6/17,午餐,205,false,daily_cell
daily_entry,5/27,5/18,6/17,午餐,125,false,daily_cell
daily_entry,5/28,5/18,6/17,午餐,160,false,daily_cell
daily_entry,5/29,5/18,6/17,午餐,250,false,daily_cell
daily_entry,6/1,5/18,6/17,午餐,190,false,daily_cell
daily_entry,6/2,5/18,6/17,午餐,125,false,daily_cell
daily_entry,6/3,5/18,6/17,午餐,200,false,daily_cell
daily_entry,6/4,5/18,6/17,午餐,160,false,daily_cell
daily_entry,6/5,5/18,6/17,午餐,428,false,daily_cell
daily_entry,6/6,5/18,6/17,午餐,300,false,daily_cell
daily_entry,6/7,5/18,6/17,午餐,502,false,daily_cell
daily_entry,6/8,5/18,6/17,午餐,160,false,daily_cell
daily_entry,6/9,5/18,6/17,午餐,130,false,daily_cell
daily_entry,6/10,5/18,6/17,午餐,243,false,daily_cell
daily_entry,6/11,5/18,6/17,午餐,160,false,daily_cell
daily_entry,6/12,5/18,6/17,午餐,428,false,daily_cell
daily_entry,6/14,5/18,6/17,午餐,100,false,daily_cell
daily_entry,6/15,5/18,6/17,午餐,306,false,daily_cell
daily_entry,6/16,5/18,6/17,午餐,230,false,daily_cell
daily_entry,6/17,5/18,6/17,午餐,200,false,daily_cell
daily_entry,5/21,5/18,6/17,晚餐,540,false,daily_cell
daily_entry,5/26,5/18,6/17,晚餐,1930,false,daily_cell
daily_entry,5/27,5/18,6/17,晚餐,450,false,daily_cell
daily_entry,5/28,5/18,6/17,晚餐,465,false,daily_cell
daily_entry,5/29,5/18,6/17,晚餐,655,false,daily_cell
daily_entry,6/1,5/18,6/17,晚餐,475,false,daily_cell
daily_entry,6/2,5/18,6/17,晚餐,270,false,daily_cell
daily_entry,6/3,5/18,6/17,晚餐,545,false,daily_cell
daily_entry,6/4,5/18,6/17,晚餐,390,false,daily_cell
daily_entry,6/11,5/18,6/17,晚餐,150,false,daily_cell
daily_entry,6/17,5/18,6/17,晚餐,120,false,daily_cell
daily_entry,5/19,5/18,6/17,消夜/零食,40,false,daily_cell
daily_entry,5/20,5/18,6/17,消夜/零食,290,false,daily_cell
daily_entry,5/23,5/18,6/17,消夜/零食,200,false,daily_cell
daily_entry,5/24,5/18,6/17,消夜/零食,49,false,daily_cell
daily_entry,5/25,5/18,6/17,消夜/零食,98,false,daily_cell
daily_entry,5/26,5/18,6/17,消夜/零食,45,false,daily_cell
daily_entry,5/30,5/18,6/17,消夜/零食,120,false,daily_cell
daily_entry,5/31,5/18,6/17,消夜/零食,110,false,daily_cell
daily_entry,6/7,5/18,6/17,消夜/零食,335,false,daily_cell
daily_entry,6/9,5/18,6/17,消夜/零食,39,false,daily_cell
daily_entry,6/10,5/18,6/17,消夜/零食,100,false,daily_cell
daily_entry,6/12,5/18,6/17,消夜/零食,270,false,daily_cell
daily_entry,6/13,5/18,6/17,消夜/零食,200,false,daily_cell
daily_entry,5/25,5/18,6/17,飲料,245,false,daily_cell
daily_entry,5/30,5/18,6/17,飲料,35,false,daily_cell
daily_entry,6/13,5/18,6/17,飲料,115,false,daily_cell
daily_entry,6/15,5/18,6/17,飲料,27,false,daily_cell
daily_entry,6/7,5/18,6/17,交際/節慶,1447,false,daily_cell
daily_entry,6/12,5/18,6/17,交際/節慶,240,false,daily_cell
daily_entry,6/14,5/18,6/17,交際/節慶,100,false,daily_cell
daily_entry,5/19,5/18,6/17,交-加油,1000,false,daily_cell
daily_entry,6/7,5/18,6/17,交-加油,500,false,daily_cell
daily_entry,6/10,5/18,6/17,交-加油,500,false,daily_cell
daily_entry,6/16,5/18,6/17,交-加油,500,false,daily_cell
daily_entry,5/22,5/18,6/17,交-停車,60,false,daily_cell
daily_entry,5/24,5/18,6/17,交-停車,20,false,daily_cell
daily_entry,5/30,5/18,6/17,交-停車,70,false,daily_cell
daily_entry,6/7,5/18,6/17,交-停車,80,false,daily_cell
daily_entry,5/20,5/18,6/17,交-儲值,155,false,daily_cell
daily_entry,5/21,5/18,6/17,交-儲值,100,false,daily_cell
daily_entry,5/26,5/18,6/17,交-儲值,400,false,daily_cell
daily_entry,6/3,5/18,6/17,交-儲值,67,false,daily_cell
daily_entry,6/17,5/18,6/17,交-儲值,95,false,daily_cell
daily_entry,5/24,5/18,6/17,交-月票,2400,false,daily_cell
daily_entry,6/1,5/18,6/17,交-汽/機保養,2280,false,daily_cell
daily_entry,6/15,5/18,6/17,交-汽/機保養,450,false,daily_cell
daily_entry,5/19,5/18,6/17,醫療,250,false,daily_cell
daily_entry,5/21,5/18,6/17,醫療,50,false,daily_cell
daily_entry,5/22,5/18,6/17,醫療,300,false,daily_cell
daily_entry,5/25,5/18,6/17,醫療,50,false,daily_cell
daily_entry,5/27,5/18,6/17,醫療,300,false,daily_cell
daily_entry,5/28,5/18,6/17,醫療,840,false,daily_cell
daily_entry,5/30,5/18,6/17,醫療,250,false,daily_cell
daily_entry,5/31,5/18,6/17,醫療,1330,false,daily_cell
daily_entry,6/1,5/18,6/17,醫療,250,false,daily_cell
daily_entry,6/2,5/18,6/17,醫療,500,false,daily_cell
